Customer ID,Profit,Sales,Order ID,Quantity,Discount,Cluster,Cluster Label
AA-10315,-362.8825,5563.56,11,30,0.09090909090909091,0,low performing customers
AA-10375,277.3824,1056.39,15,41,0.08000000000000002,0,low performing customers
AA-10480,435.8274,1790.5120000000002,12,36,0.016666666666666666,0,low performing customers
AA-10645,857.8033,5086.9349999999995,18,64,0.06388888888888888,1,Semi discount chasers
AB-10015,129.3465,886.156,6,13,0.06666666666666667,0,low performing customers
AB-10060,2019.9588999999999,7681.94,16,50,0.05,2,High paying customers
AB-10105,5444.8055,14473.570999999998,20,73,0.24,2,High paying customers
AB-10150,313.6597,966.71,12,37,0.13333333333333333,0,low performing customers
AB-10165,220.813,1113.838,14,48,0.13571428571428573,0,low performing customers
AB-10255,264.5675,914.5319999999999,14,39,0.1,0,low performing customers
AB-10600,-274.9604,1515.862,8,38,0.375,3,Discount Chasers
AC-10420,-62.1342,925.8,5,17,0.32,3,Discount Chasers
AC-10450,1366.0098,5527.846,9,43,0.18888888888888888,0,low performing customers
AC-10615,298.8273,2537.6859999999997,18,59,0.1111111111111111,1,Semi discount chasers
AC-10660,-28.700399999999995,657.316,6,16,0.18333333333333335,3,Discount Chasers
AD-10180,1869.9294,6106.88,12,40,0.05833333333333333,0,low performing customers
AF-10870,317.9712,2052.908,16,51,0.2,1,Semi discount chasers
AF-10885,-163.1175,861.565,7,37,0.2571428571428572,3,Discount Chasers
AG-10270,732.7399,2582.898,14,58,0.014285714285714287,0,low performing customers
AG-10300,59.288399999999996,367.548,5,16,0.08,0,low performing customers
AG-10330,-5.137100000000006,660.972,9,47,0.23333333333333334,3,Discount Chasers
AG-10390,69.2784,200.945,8,33,0.22499999999999998,3,Discount Chasers
AG-10495,295.6668,2356.855,21,93,0.20476190476190476,1,Semi discount chasers
AG-10525,-152.7613,1455.038,9,33,0.15555555555555556,0,low performing customers
AG-10675,-246.42570000000003,3489.0396000000005,15,54,0.16133333333333333,1,Semi discount chasers
AG-10765,-8.431000000000001,170.584,5,20,0.45999999999999996,3,Discount Chasers
AG-10900,343.6824,4510.797,21,92,0.16666666666666666,1,Semi discount chasers
AH-10030,365.2152,1744.7,11,54,0.09090909090909091,0,low performing customers
AH-10075,281.189,3250.337,20,75,0.135,1,Semi discount chasers
AH-10120,-2.3145999999999773,1735.5140000000001,16,65,0.23750000000000002,1,Semi discount chasers
AH-10195,-378.5509,1587.452,8,28,0.35,3,Discount Chasers
AH-10210,1308.5546,4805.344,13,53,0.09230769230769233,1,Semi discount chasers
